Question,Answers,Comment,Instructions,Render as
__虞__，__虞__がある,おそれ,虞 → JPDB Kanji Freq: 3409,漢字の読みを入力してください,Text
"__畝__，__畝__間，__畝__織
畑の中に、細長く土をもりあげて作物を植えつける所。",うね,畝 → JPDB Kanji Freq: 3334,漢字の読みを入力してください,Text
"__倹__しい
ぜいたくをせず、質素だ。
「━暮らし」",つま,倹 → JPDB Kanji Freq: 3282,漢字の読みを入力してください,Text
"__詔__，__詔__をたまわる
〔文〕天皇が正式にのべたことば。",みことのり,詔 → JPDB Kanji Freq: 3259,漢字の読みを入力してください,Text
"__堆__い
積み上がって**高い**。
「灰が堆く積もる・━書類の山」",うずたか,堆 → JPDB Kanji Freq: 3094,漢字の読みを入力してください,Text
"__諮__る
相談をもちかけて、意見を聞く。
「委員会に諮る。」「会議に━・みなさんにお諮りいたします」",はか,諮 → JPDB Kanji Freq: 3033,漢字の読みを入力してください,Text
"__毀__つ，__毀__れる
〔雅〕こわす。くずす。",こぼ,毀 → JPDB Kanji Freq: 2953,漢字の読みを入力してください,Text
"__鋳__る，__鋳__物，__鋳__型
金属をとかし、型に流しこんで物をつくる。",い,鋳 → JPDB Kanji Freq: 2909,漢字の読みを入力してください,Text
__升__，__升__目,ます,升 → JPDB Kanji Freq: 2876,漢字の読みを入力してください,Text
__蚕__，__蚕__日待ち,かいこ,蚕 → JPDB Kanji Freq: 2861,漢字の読みを入力してください,Text
__窯__，石__窯__，ピザ__窯__，登り__窯__,かま,窯 → JPDB Kanji Freq: 2798,漢字の読みを入力してください,Text
__且__つ,か,且 → JPDB Kanji Freq: 2792,漢字の読みを入力してください,Text
"__坪__数，建__坪__
①土地の面積の単位。一坪は六尺平方。約三・三一平方メートル。歩(ぶ)。
②墓地の面積の単位。一坪は三尺平方。「坪①」の四分の一。",つぼ,坪 → JPDB Kanji Freq: 2646,漢字の読みを入力してください,Text
__矯__める，__矯__め直す,た,矯 → JPDB Kanji Freq: 2604,漢字の読みを入力してください,Text
"__捗__る，__捗__々しい
仕事が順調にどんどん進む。",はか,捗 → JPDB Kanji Freq: 2584,漢字の読みを入力してください,Text
"石__臼__
中にむしたもち米を入れ、そこでもちをつくための道具。杵でつく。",うす,臼 → JPDB Kanji Freq: 2567,漢字の読みを入力してください,Text
"糾す
真相を調べる。
「罪を━・理非を━」",ただ,糾 → JPDB Kanji Freq: 2557,漢字の読みを入力してください,Text
"__糾__う
糸などをより合わせる。縄をなう。「禍福は―える縄のごとし」",あざな,糾 → JPDB Kanji Freq: 2557,漢字の読みを入力してください,Text
"__霜__，__霜__柱，初__霜__
空気中の水蒸気が、冷えた地上の物にふれてこおった、白く細かい氷。",しも,霜 → JPDB Kanji Freq: 2540,漢字の読みを入力してください,Text
