Question,Answers,Comment,Instructions,Render as
惰__嬉__，__嬉__戯,き,嬉→ JPDB Kanji Freq: 519,漢字の読みを入力してください,Text
__伊__佐木,い,伊→ JPDB Kanji Freq: 1012,漢字の読みを入力してください,Text
愛__撫__，恩__撫__，慈__撫__,ぶ,撫→ JPDB Kanji Freq: 1041,漢字の読みを入力してください,Text
__云__々,うん,云→ JPDB Kanji Freq: 1280,漢字の読みを入力してください,Text
虎__狼__,ろう,狼→ JPDB Kanji Freq: 1322,漢字の読みを入力してください,Text
尋問・__訊__問,じん,訊→ JPDB Kanji Freq: 1324,漢字の読みを入力してください,Text
__怯__臆,きょう,怯→ JPDB Kanji Freq: 1328,漢字の読みを入力してください,Text
__喧__騒，__喧__嘩を売る,けん,喧→ JPDB Kanji Freq: 1402,漢字の読みを入力してください,Text
鬱__蒼__，__蒼__空,そう,蒼→ JPDB Kanji Freq: 1569,漢字の読みを入力してください,Text
惨__凛__，薫る花は__凛__と咲く，__凛__として時雨,りん,凛→ JPDB Kanji Freq: 1588,漢字の読みを入力してください,Text
飛__翔__,しょう,翔→ JPDB Kanji Freq: 1607,漢字の読みを入力してください,Text
躊躇,ちゅうちょ,"躊→ JPDB Kanji Freq: 1694
躇→ JPDB Kanji Freq: 1695",漢字の読みを入力してください,Text
__逢__瀬,おう,逢→ JPDB Kanji Freq: 1727,漢字の読みを入力してください,Text
麻__痺__・痲__痺__,ひ,痺→ JPDB Kanji Freq: 1735,漢字の読みを入力してください,Text
__絆__創膏,ばん,絆→ JPDB Kanji Freq: 1743,漢字の読みを入力してください,Text
__俯__角，__俯__瞰，__俯__仰,ふ,俯→ JPDB Kanji Freq: 1757,漢字の読みを入力してください,Text
__鷹__揚,おう,鷹→ JPDB Kanji Freq: 1758,漢字の読みを入力してください,Text
土岐__隼__一,シュン,隼→ JPDB Kanji Freq: 1768,漢字の読みを入力してください,Text
__尖__塔,せん,尖→ JPDB Kanji Freq: 1772,漢字の読みを入力してください,Text
華__奢__，豪__奢__,しゃ,奢→ JPDB Kanji Freq: 1788,漢字の読みを入力してください,Text
__轟__音，__轟__然,ごう,轟→ JPDB Kanji Freq: 1797,漢字の読みを入力してください,Text
怪__訝__,"げん,が",訝→ JPDB Kanji Freq: 1800,漢字の読みを入力してください,Text
信__憑__性，__憑__依,ひょう,憑→ JPDB Kanji Freq: 1802,漢字の読みを入力してください,Text
__閃__光，一__閃__,せん,閃→ JPDB Kanji Freq: 1810,漢字の読みを入力してください,Text
__萌__芽,ほう,萌→ JPDB Kanji Freq: 1817,漢字の読みを入力してください,Text
潮__汐__,せき,汐→ JPDB Kanji Freq: 1819,漢字の読みを入力してください,Text
__窺__知,き,窺→ JPDB Kanji Freq: 1824,漢字の読みを入力してください,Text
__滲__出，__滲__透,しん,滲→ JPDB Kanji Freq: 1826,漢字の読みを入力してください,Text
愛__妾__，男__妾__，妻__妾__,しょう,妾→ JPDB Kanji Freq: 1833,漢字の読みを入力してください,Text
煙__霞__，雲__霞__,か,霞→ JPDB Kanji Freq: 1836,漢字の読みを入力してください,Text
苦__悶__，__悶__絶,もん,悶→ JPDB Kanji Freq: 1840,漢字の読みを入力してください,Text
__塵__芥，宇宙__塵__，後__塵__，紅__塵__,じん,塵→ JPDB Kanji Freq: 1854,漢字の読みを入力してください,Text
麻__雀__，__雀__荘,じゃん,雀→ JPDB Kanji Freq: 1857,漢字の読みを入力してください,Text
__厨__房，__厨__二病，__厨__芥,ちゅう,厨→ JPDB Kanji Freq: 1873,漢字の読みを入力してください,Text
可__憐__,れん,憐→ JPDB Kanji Freq: 1881,漢字の読みを入力してください,Text
上__梓__,し,梓→ JPDB Kanji Freq: 1887,漢字の読みを入力してください,Text
ご__馳__走,ち,馳→ JPDB Kanji Freq: 1920,漢字の読みを入力してください,Text
痙__攣__,れん,攣→ JPDB Kanji Freq: 1921,漢字の読みを入力してください,Text
